"epiunitID","serotype","Longitude","Latitude","Date"
46918,"O",34.359383,38.058824,2007-06-09
1325,"O",34.811513,38.165102,2007-06-09
9863,"O",43.044303,37.407021,2007-06-09
2914,"O",34.811513,38.165102,2007-06-12
26445,"O",34.496347,38.541768,2007-06-13
5359,"A",35.736887,41.065262,2007-06-13
23942,"O",28.791919,37.996357,2007-06-15
25532,"O",35.263296,40.270835,2007-06-16
26008,"O",29.330828,39.324698,2007-06-16
53365,"O",40.803326,37.8994,2007-06-19
10819,"O",35.107384,37.973805,2007-06-20
19436,"O",36.120984,37.35515,2007-06-20
2978,"O",39.207466,38.664705,2007-06-21
8859,"O",43.052255,40.834153,2007-06-22
28725,"O",34.811513,38.165102,2007-06-23
2258,"O",42.550815,37.617679,2007-06-23
18974,"O",38.195494,40.746802,2007-06-24
45652,"O",38.195494,40.746802,2007-06-24
16885,"O",34.811513,38.165102,2007-06-25
17632,"O",34.811513,38.165102,2007-06-25
41401,"O",34.811513,38.165102,2007-06-25
44451,"O",33.497323,40.718098,2007-06-28
3062,"O",43.052255,40.834153,2007-06-28
35920,"O",39.239394,39.129362,2007-06-30
7098,"A",33.859158,41.311514,2007-07-01
38391,"O",43.052255,40.834153,2007-07-03
46067,"O",33.684413,41.614658,2007-07-03
9311,"O",30.750228,40.642213,2007-07-03
9426,"O",41.542486,38.848864,2007-07-05
1400,"O",34.811513,38.165102,2007-07-05
24111,"O",41.542486,38.848864,2007-07-06
9137,"O",30.982989,38.520055,2007-07-09
33006,"A",36.529062,39.872686,2007-07-09
18753,"O",32.289424,40.677502,2007-07-11
16268,"O",36.348905,37.055517,2007-07-12
19158,"O",32.289424,40.677502,2007-07-13
26132,"O",32.289424,40.677502,2007-07-13
48827,"O",42.550815,37.617679,2007-07-13
23488,"O",28.034081,37.610605,2007-07-13
45042,"O",35.843999,40.21095,2007-07-15
17164,"O",34.811513,38.165102,2007-07-17
15042,"A",36.041206,41.094444,2007-07-17
17272,"O",31.26042,40.890866,2007-07-18
8539,"O",32.289424,40.677502,2007-07-20
16517,"O",36.432514,37.286541,2007-07-21
22268,"O",40.071355,38.683891,2007-07-25
48649,"O",34.811513,38.165102,2007-07-25
3505,"O",41.295639,40.016936,2007-07-27
44205,"A",44.225456,37.551326,2007-08-02
35565,"O",31.938845,38.227524,2007-08-04
25688,"O",29.52277,40.034987,2007-08-06
8691,"O",41.542486,38.848864,2007-08-07
35911,"O",39.090871,40.181826,2007-08-08
32806,"O",33.865535,38.284408,2007-08-08
27229,"O",30.250537,38.139634,2007-08-13
26988,"A",43.096649,41.156924,2007-08-13
27828,"O",35.464857,38.135423,2007-08-15
33880,"O",41.542486,38.848864,2007-08-16
25372,"O",34.778457,39.283024,2007-08-17
28676,"A",43.096649,41.156924,2007-08-18
24304,"O",29.71388,38.733687,2007-08-24
20811,"O",36.218023,41.24092,2007-08-26
1466,"O",35.464857,38.135423,2007-09-03
11434,"O",35.975196,40.920421,2007-09-04
1626,"O",34.389606,39.585605,2007-09-05
32428,"O",41.542486,38.848864,2007-09-06
8677,"A",40.317284,40.235263,2007-09-07
47601,"A",42.695508,41.064583,2007-09-07
26713,"O",38.195494,40.746802,2007-09-09
26251,"O",41.542486,38.848864,2007-09-10
15089,"O",42.695508,41.064583,2007-09-12
10610,"A",42.695508,41.064583,2007-09-13
46549,"O",33.859158,41.311514,2007-09-14
38967,"O",41.8575,38.670405,2007-09-14
11657,"O",30.180279,38.4514,2007-09-15
34405,"O",27.990252,40.275767,2007-09-17
39979,"O",35.729071,39.177041,2007-09-17
1162,"O",41.781486,38.426411,2007-09-18
12985,"O",31.592019,37.91399,2007-09-18
17991,"O",27.244098,41.796791,2007-09-19
25453,"O",39.951222,40.741711,2007-09-19
42496,"O",34.87396,38.934681,2007-09-20
8272,"O",30.045464,40.776057,2007-09-21
15940,"O",39.207466,38.664705,2007-09-23
10079,"O",33.859158,41.311514,2007-09-23
20905,"O",41.295639,40.016936,2007-09-25
22689,"A",42.772893,40.501653,2007-09-26
9751,"O",34.751165,38.432442,2007-09-27
13827,"O",31.673141,40.720731,2007-09-28
33768,"A",32.500737,39.953958,2007-09-28
20905,"O",41.295639,40.016936,2007-09-30
7511,"O",39.679724,40.187759,2007-09-30
36505,"A",42.772893,40.501653,2007-10-01
5842,"O",41.719437,39.354783,2007-10-02
33332,"O",30.250537,38.139634,2007-10-02
44337,"O",44.225456,37.551326,2007-10-04
33638,"O",28.221024,39.417553,2007-10-10
